new_index,neuron_id,body_id,type,side,column,row,col,lineage,birth,in_degree,out_degree,in_degree_new,out_degree_new,syn_in,syn_out,pre_types,post_types,pathways
20,870,870,DNg02,R,9,1,1,DNg02_R,16,33,0,10,0,394.0,0.0,"haltere:9,VS:9,LAL_inh:7,LPi_v:6",,"lift,←damping,←climb,←descend,←yaw,←steer"
21,871,871,LPLC2,R,34,4,2,LPLC2_R,24,0,11,0,2,0.0,99.0,,PVLP:11,loom
22,872,872,T4b,R,6,0,6,T4b_R,48,0,1,0,0,0.0,16.0,,LPi_h:1,yaw
23,873,873,T4b,L,31,3,7,T4b_L,50,0,2,0,0,0.0,23.0,,LPi_h:2,yaw
24,874,874,T4b,L,44,5,4,T4b_L,51,0,5,0,0,0.0,40.0,,LPi_h:5,yaw
25,875,875,R1-R6,R,5,0,5,R1-R6_R,97,0,0,0,0,0.0,0.0,,,brightness
26,876,876,haltere,R,24,3,0,haltere_R,16,0,14,0,5,0.0,83.0,,"DNg02:7,LAL_inh:7","damping,→lift,→steer"
27,877,877,haltere,L,18,2,2,haltere_L,16,0,13,0,3,0.0,93.0,,"DNg02:8,LAL_inh:5","damping,→steer,→lift"
28,878,878,T4b,R,9,1,1,T4b_R,49,0,3,0,1,0.0,33.0,,LPi_h:3,yaw
29,879,879,T4b,L,24,3,0,T4b_L,52,0,4,0,0,0.0,30.0,,LPi_h:4,yaw
30,880,880,T4b,R,6,0,6,T4b_R,50,0,4,0,0,0.0,19.0,,LPi_h:4,yaw
31,881,881,R1-R6,R,0,0,0,R1-R6_R,98,0,0,0,0,0.0,0.0,,,brightness
32,882,882,LPLC2,R,34,4,2,LPLC2_R,25,0,9,0,1,0.0,99.0,,PVLP:9,loom
33,883,883,T4c,L,44,5,4,T4c_L,50,0,2,0,0,0.0,13.0,,VS:2,climb
34,884,884,T4a,L,37,4,5,T4a_L,50,0,2,0,0,0.0,16.0,,HS:2,yaw
35,885,885,R1-R6,L,36,4,4,R1-R6_L,98,0,0,0,0,0.0,0.0,,,brightness
36,886,886,R1-R6,R,40,5,0,R1-R6_R,99,0,0,0,0,0.0,0.0,,,brightness
37,887,887,T4d,L,18,2,2,T4d_L,50,0,3,0,1,0.0,35.0,,LPi_v:3,descend
38,888,888,T4d,R,41,5,1,T4d_R,50,0,3,0,0,0.0,29.0,,LPi_v:3,descend
39,889,889,R1-R6,L,31,3,7,R1-R6_L,99,0,0,0,0,0.0,0.0,,,brightness
40,890,890,T4a,R,30,3,6,T4a_R,48,0,2,0,0,0.0,12.0,,HS:2,yaw
41,891,891,R1-R6,L,12,1,4,R1-R6_L,100,0,0,0,0,0.0,0.0,,,brightness
42,892,892,T4a,R,14,1,6,T4a_R,49,0,2,0,0,0.0,15.0,,HS:2,yaw
43,893,893,R1-R6,L,36,4,4,R1-R6_L,101,0,0,0,0,0.0,0.0,,,brightness
44,894,894,R1-R6,R,42,5,2,R1-R6_R,100,0,0,0,0,0.0,0.0,,,brightness
45,895,895,T4d,R,22,2,6,T4d_R,51,0,5,0,1,0.0,34.0,,LPi_v:5,descend
46,896,896,PVLP,R,26,3,2,PVLP_R,20,22,7,7,2,210.0,43.0,"LPLC2:12,LC4:7,PVLP_inh:3","LAL_inh:6,DNp03:1","loom,←saccade,→steer,→saccade"
47,897,897,T4b,L,44,5,4,T4b_L,53,0,5,0,0,0.0,38.0,,LPi_h:5,yaw
48,898,898,LC4,R,24,3,0,LC4_R,12,0,10,0,3,0.0,91.0,,"PVLP:9,DNp01:1","loom,→escape"
49,899,899,T4c,R,6,0,6,T4c_R,50,0,2,0,0,0.0,29.0,,VS:2,climb
50,900,900,T4c,R,22,2,6,T4c_R,51,0,5,0,1,0.0,32.0,,VS:5,climb
51,901,901,PVLP,R,7,0,7,PVLP_R,21,14,4,5,0,125.0,14.0,"LPLC2:8,R1-R6:4,LC4:2",LAL_inh:4,"loom,←brightness,→steer"
52,902,902,T4d,L,33,4,1,T4d_L,51,0,4,0,1,0.0,36.0,,LPi_v:4,descend
53,903,903,LAL_inh,R,36,4,4,LAL_inh_R,12,19,6,6,1,121.0,214.0,"haltere:10,PVLP:9",DNg02:6,"steer,←damping,←loom,→lift"
54,904,904,R1-R6,L,0,0,0,R1-R6_L,102,0,0,0,0,0.0,0.0,,,brightness
55,905,905,LPLC2,R,24,3,0,LPLC2_R,26,0,11,0,3,0.0,120.0,,"PVLP:10,DNp01:1","loom,→escape"
56,906,906,R1-R6,R,20,2,4,R1-R6_R,101,0,0,0,0,0.0,0.0,,,brightness
57,907,907,T4c,R,41,5,1,T4c_R,52,0,5,0,2,0.0,35.0,,VS:5,climb
58,908,908,PVLP,R,19,2,3,PVLP_R,22,21,7,4,0,156.0,18.0,"LPLC2:15,LC4:5,PVLP_inh:1",LAL_inh:7,"loom,←saccade,→steer"
59,909,909,LAL_inh,R,40,5,0,LAL_inh_R,13,14,5,3,0,210.0,180.0,"haltere:6,PVLP:4,HS:3,DNp03:1",DNg02:5,"steer,←yaw,←damping,←loom,←saccade,→lift"
60,910,910,R1-R6,R,28,3,4,R1-R6_R,102,0,0,0,0,0.0,0.0,,,brightness
61,911,911,PVLP,L,45,5,5,PVLP_L,20,17,4,5,1,180.0,11.0,"LPLC2:10,LC4:6,PVLP_inh:1",LAL_inh:4,"loom,←saccade,→steer"
62,912,912,LC4,R,40,5,0,LC4_R,13,0,7,0,1,0.0,54.0,,"PVLP:6,DNp01:1","loom,→escape"
63,913,913,T4a,R,16,2,0,T4a_R,50,0,2,0,0,0.0,14.0,,HS:2,yaw
64,914,914,R1-R6,L,36,4,4,R1-R6_L,103,0,1,0,1,0.0,1.0,,PVLP:1,"brightness,→loom"
65,915,915,T4b,R,9,1,1,T4b_R,51,0,4,0,1,0.0,34.0,,LPi_h:4,yaw
66,916,916,PVLP,L,7,0,7,PVLP_L,21,17,2,4,1,190.0,3.0,"LPLC2:9,R1-R6:6,LC4:2",LAL_inh:2,"loom,←brightness,→steer"
67,917,917,T4d,R,31,3,7,T4d_R,52,0,4,0,0,0.0,36.0,,LPi_v:4,descend
68,918,918,R1-R6,L,5,0,5,R1-R6_L,104,0,0,0,0,0.0,0.0,,,brightness
69,919,919,LPLC2,L,14,1,6,LPLC2_L,24,0,10,0,2,0.0,114.0,,PVLP:10,loom
70,920,920,T4b,L,26,3,2,T4b_L,54,0,4,0,0,0.0,31.0,,LPi_h:4,yaw
71,921,921,T4d,R,19,2,3,T4d_R,53,0,5,0,0,0.0,32.0,,LPi_v:5,descend
72,922,922,R1-R6,R,38,4,6,R1-R6_R,103,0,0,0,0,0.0,0.0,,,brightness
73,923,923,VS,L,8,1,0,VS_L,6,24,11,8,4,231.0,206.0,"T4c:20,LPi_v:4",DNg02:11,"climb,←descend,→lift"
74,924,924,T4a,L,30,3,6,T4a_L,51,0,2,0,0,0.0,11.0,,HS:2,yaw
75,925,925,R1-R6,R,10,1,2,R1-R6_R,104,0,0,0,0,0.0,0.0,,,brightness
76,926,926,T4b,L,11,1,3,T4b_L,55,0,3,0,0,0.0,18.0,,LPi_h:3,yaw
77,927,927,haltere,R,36,4,4,haltere_R,17,0,15,0,4,0.0,115.0,,"DNg02:9,LAL_inh:6","damping,→lift,→steer"
78,928,928,VS,L,0,0,0,VS_L,7,24,10,3,3,226.0,224.0,"T4c:19,LPi_v:5",DNg02:10,"climb,←descend,→lift"
79,929,929,R1-R6,R,13,1,5,R1-R6_R,105,0,0,0,0,0.0,0.0,,,brightness
80,930,930,T4c,L,38,4,6,T4c_L,51,0,4,0,0,0.0,20.0,,VS:4,climb
81,931,931,T4a,L,8,1,0,T4a_L,52,0,1,0,0,0.0,7.0,,HS:1,yaw
82,932,932,T4a,L,26,3,2,T4a_L,53,0,1,0,0,0.0,19.0,,HS:1,yaw
83,933,933,T4c,R,13,1,5,T4c_R,53,0,4,0,1,0.0,24.0,,VS:4,climb
84,934,934,R1-R6,R,47,5,7,R1-R6_R,106,0,0,0,0,0.0,0.0,,,brightness
85,935,935,T4c,L,5,0,5,T4c_L,52,0,2,0,0,0.0,22.0,,VS:2,climb
86,936,936,T4b,R,35,4,3,T4b_R,52,0,4,0,0,0.0,16.0,,LPi_h:4,yaw
87,937,937,T4d,R,26,3,2,T4d_R,54,0,5,0,0,0.0,27.0,,LPi_v:5,descend
88,938,938,LPLC2,L,38,4,6,LPLC2_L,25,0,8,0,1,0.0,98.0,,PVLP:8,loom
89,939,939,T4c,L,32,4,0,T4c_L,53,0,3,0,1,0.0,19.0,,VS:3,climb
90,940,940,T4d,R,6,0,6,T4d_R,55,0,3,0,1,0.0,34.0,,LPi_v:3,descend
91,941,941,haltere,L,15,1,7,haltere_L,17,0,11,0,1,0.0,66.0,,"DNg02:7,LAL_inh:4","damping,→steer,→lift"
92,942,942,DNg02,L,44,5,4,DNg02_L,17,24,0,6,0,436.0,0.0,"haltere:10,LAL_inh:9,VS:4,LPi_v:1",,"lift,←descend,←climb,←steer,←damping"
93,943,943,T4d,L,38,4,6,T4d_L,52,0,2,0,0,0.0,21.0,,LPi_v:2,descend
94,944,944,haltere,R,24,3,0,haltere_R,18,0,10,0,3,0.0,81.0,,"LAL_inh:6,DNg02:4","damping,→lift,→steer"
95,945,945,VS,R,16,2,0,VS_R,6,23,17,7,6,224.0,228.0,"T4c:18,LPi_v:5",DNg02:17,"climb,←descend,→lift"
96,946,946,LPLC2,R,38,4,6,LPLC2_R,27,0,9,0,4,0.0,109.0,,PVLP:9,loom
97,947,947,haltere,L,30,3,6,haltere_L,18,0,13,0,2,0.0,82.0,,"DNg02:9,LAL_inh:4","damping,→steer,→lift"
98,948,948,T4d,L,9,1,1,T4d_L,53,0,6,0,2,0.0,45.0,,LPi_v:6,descend
99,949,949,T4c,R,4,0,4,T4c_R,54,0,2,0,0,0.0,22.0,,VS:2,climb
100,950,950,R1-R6,R,23,2,7,R1-R6_R,107,0,0,0,0,0.0,0.0,,,brightness
101,951,951,PVLP,R,7,0,7,PVLP_R,23,13,5,3,1,140.0,24.0,"LPLC2:8,LC4:3,R1-R6:2","LAL_inh:4,DNp03:1","loom,←brightness,→steer,→saccade"
102,952,952,T4c,R,17,2,1,T4c_R,55,0,4,0,2,0.0,58.0,,VS:4,climb
103,953,953,T4d,R,47,5,7,T4d_R,56,0,3,0,0,0.0,37.0,,LPi_v:3,descend
104,954,954,R1-R6,L,43,5,3,R1-R6_L,105,0,0,0,0,0.0,0.0,,,brightness
105,955,955,T4a,L,34,4,2,T4a_L,54,0,2,0,0,0.0,15.0,,HS:2,yaw
106,956,956,R1-R6,R,39,4,7,R1-R6_R,108,0,0,0,0,0.0,0.0,,,brightness
107,957,957,T4d,R,1,0,1,T4d_R,57,0,2,0,0,0.0,31.0,,LPi_v:2,descend
108,958,958,LAL_inh,L,36,4,4,LAL_inh_L,13,17,7,2,3,76.0,226.0,"PVLP:9,haltere:8",DNg02:7,"steer,←damping,←loom,→lift"
109,959,959,T4c,L,38,4,6,T4c_L,54,0,4,0,1,0.0,22.0,,VS:4,climb
110,960,960,T4b,L,39,4,7,T4b_L,56,0,4,0,0,0.0,25.0,,LPi_h:4,yaw
111,961,961,DNg02,R,9,1,1,DNg02_R,17,36,0,8,0,397.0,0.0,"haltere:11,VS:10,LAL_inh:9,LPi_v:6",,"lift,←damping,←climb,←descend,←steer"
112,962,962,T4c,L,33,4,1,T4c_L,55,0,4,0,1,0.0,28.0,,VS:4,climb
113,963,963,DNg02,L,41,5,1,DNg02_L,18,22,0,5,0,331.0,0.0,"VS:7,LAL_inh:6,haltere:5,LPi_v:2",,"lift,←descend,←yaw,←climb,←steer,←damping"
114,964,964,T4c,L,35,4,3,T4c_L,56,0,3,0,1,0.0,24.0,,VS:3,climb
115,965,965,T4a,L,21,2,5,T4a_L,55,0,3,0,0,0.0,15.0,,HS:3,yaw
116,966,966,T4d,R,8,1,0,T4d_R,58,0,4,0,0,0.0,28.0,,LPi_v:4,descend
117,967,967,LC4,L,16,2,0,LC4_L,12,0,6,0,1,0.0,47.0,,PVLP:6,loom
118,968,968,T4d,L,27,3,3,T4d_L,54,0,4,0,1,0.0,26.0,,LPi_v:4,descend
119,969,969,LC4,L,12,1,4,LC4_L,13,0,9,0,1,0.0,53.0,,"PVLP:8,DNp01:1","loom,→escape"
120,970,970,R1-R6,L,8,1,0,R1-R6_L,106,0,0,0,0,0.0,0.0,,,brightness
121,971,971,R1-R6,R,27,3,3,R1-R6_R,109,0,0,0,0,0.0,0.0,,,brightness
122,972,972,haltere,L,9,1,1,haltere_L,19,0,12,0,5,0.0,89.0,,"DNg02:7,LAL_inh:5","damping,→steer,→lift"
123,973,973,T4a,R,16,2,0,T4a_R,51,0,2,0,0,0.0,19.0,,HS:2,yaw
124,974,974,PVLP_inh,R,0,0,0,PVLP_inh_R,6,1,6,0,0,71.0,173.0,DNp03:1,"PVLP:5,DNp03:1","saccade,→loom"
125,975,975,PVLP,R,16,2,0,PVLP_R,24,15,5,2,1,139.0,36.0,"LPLC2:7,PVLP_inh:5,LC4:3","LAL_inh:4,DNp03:1","loom,←saccade,→steer,→saccade"
126,976,976,T4d,L,20,2,4,T4d_L,55,0,4,0,2,0.0,27.0,,LPi_v:4,descend
127,977,977,PVLP,R,36,4,4,PVLP_R,25,17,5,6,1,211.0,17.0,"LPLC2:12,LC4:5",LAL_inh:5,"loom,→steer"
128,978,978,LPLC2,R,46,5,6,LPLC2_R,28,0,7,0,1,0.0,93.0,,PVLP:7,loom
129,979,979,R1-R6,L,9,1,1,R1-R6_L,107,0,0,0,0,0.0,0.0,,,brightness
130,980,980,T4a,R,37,4,5,T4a_R,52,0,1,0,0,0.0,6.0,,HS:1,yaw
131,981,981,T4a,R,18,2,2,T4a_R,53,0,1,0,0,0.0,18.0,,HS:1,yaw
132,982,982,T4c,R,20,2,4,T4c_R,56,0,4,0,1,0.0,35.0,,VS:4,climb
133,983,983,T4a,R,39,4,7,T4a_R,54,0,1,0,0,0.0,5.0,,HS:1,yaw
134,984,984,R1-R6,L,36,4,4,R1-R6_L,108,0,0,0,0,0.0,0.0,,,brightness
135,985,985,R1-R6,R,41,5,1,R1-R6_R,110,0,0,0,0,0.0,0.0,,,brightness
136,986,986,T4c,R,29,3,5,T4c_R,57,0,5,0,2,0.0,31.0,,VS:5,climb
137,987,987,T4b,L,16,2,0,T4b_L,57,0,3,0,0,0.0,28.0,,LPi_h:3,yaw
138,988,988,VS,R,8,1,0,VS_R,7,23,14,3,5,232.0,171.0,"T4c:20,LPi_v:3",DNg02:14,"climb,←descend,→lift"
139,989,989,R1-R6,L,40,5,0,R1-R6_L,109,0,0,0,0,0.0,0.0,,,brightness
140,990,990,T4a,R,14,1,6,T4a_R,55,0,2,0,0,0.0,20.0,,HS:2,yaw
141,991,991,T4a,R,4,0,4,T4a_R,56,0,1,0,0,0.0,12.0,,HS:1,yaw
142,992,992,T4d,L,28,3,4,T4d_L,56,0,4,0,0,0.0,36.0,,LPi_v:4,descend
143,993,993,LPLC2,R,30,3,6,LPLC2_R,29,0,10,0,3,0.0,89.0,,PVLP:10,loom
144,994,994,R1-R6,R,47,5,7,R1-R6_R,111,0,0,0,0,0.0,0.0,,,brightness
145,995,995,T4d,R,40,5,0,T4d_R,59,0,4,0,0,0.0,22.0,,LPi_v:4,descend
146,996,996,LAL_inh,L,8,1,0,LAL_inh_L,14,14,8,2,3,218.0,227.0,"haltere:5,PVLP:4,HS:3,DNp03:2",DNg02:8,"steer,←damping,←loom,←saccade,←yaw,→lift"
147,997,997,T4c,R,15,1,7,T4c_R,58,0,3,0,1,0.0,27.0,,VS:3,climb
148,998,998,R1-R6,R,28,3,4,R1-R6_R,112,0,0,0,0,0.0,0.0,,,brightness
149,999,999,T4c,R,28,3,4,T4c_R,59,0,4,0,1,0.0,30.0,,VS:4,climb
150,1000,1000,DNg02,L,9,1,1,DNg02_L,19,27,0,9,0,443.0,0.0,"VS:8,LAL_inh:7,LPi_v:5,haltere:5",,"lift,←descend,←yaw,←climb,←steer,←damping"
151,1001,1001,R1-R6,L,39,4,7,R1-R6_L,110,0,0,0,0,0.0,0.0,,,brightness
152,1002,1002,LC4,L,8,1,0,LC4_L,14,0,9,0,2,0.0,51.0,,"PVLP:8,DNp01:1","loom,→escape"
153,1003,1003,T4b,L,5,0,5,T4b_L,58,0,4,0,0,0.0,34.0,,LPi_h:4,yaw
154,1004,1004,R1-R6,L,27,3,3,R1-R6_L,111,0,0,0,0,0.0,0.0,,,brightness
155,1005,1005,T4b,R,12,1,4,T4b_R,53,0,3,0,0,0.0,30.0,,LPi_h:3,yaw
156,1006,1006,T4d,R,0,0,0,T4d_R,60,0,2,0,0,0.0,32.0,,LPi_v:2,descend
157,1007,1007,LPLC2,R,44,5,4,LPLC2_R,30,0,6,0,1,0.0,91.0,,PVLP:6,loom
158,1008,1008,T4d,L,12,1,4,T4d_L,57,0,3,0,0,0.0,19.0,,LPi_v:3,descend
159,1009,1009,LAL_inh,R,0,0,0,LAL_inh_R,14,9,6,3,2,390.0,205.0,"haltere:3,HS:2,PVLP:2,DNp03:2",DNg02:6,"steer,←yaw,←damping,←loom,←saccade,→lift"
160,1010,1010,R1-R6,R,27,3,3,R1-R6_R,113,0,0,0,0,0.0,0.0,,,brightness
161,1011,1011,R1-R6,R,40,5,0,R1-R6_R,114,0,0,0,0,0.0,0.0,,,brightness
162,1012,1012,R1-R6,R,20,2,4,R1-R6_R,115,0,0,0,0,0.0,0.0,,,brightness
163,1013,1013,haltere,L,33,4,1,haltere_L,20,0,11,0,2,0.0,72.0,,"DNg02:8,LAL_inh:3","damping,→steer,→lift"
164,1014,1014,T4c,R,32,4,0,T4c_R,60,0,5,0,2,0.0,23.0,,VS:5,climb
165,1015,1015,R1-R6,L,37,4,5,R1-R6_L,112,0,0,0,0,0.0,0.0,,,brightness
166,1016,1016,R1-R6,L,43,5,3,R1-R6_L,113,0,0,0,0,0.0,0.0,,,brightness
167,1017,1017,T4d,L,28,3,4,T4d_L,58,0,4,0,0,0.0,42.0,,LPi_v:4,descend
168,1018,1018,T4d,L,5,0,5,T4d_L,59,0,2,0,0,0.0,9.0,,LPi_v:2,descend
169,1019,1019,T4a,L,31,3,7,T4a_L,56,0,2,0,0,0.0,15.0,,HS:2,yaw
170,1020,1020,R1-R6,L,31,3,7,R1-R6_L,114,0,0,0,0,0.0,0.0,,,brightness
171,1021,1021,haltere,R,15,1,7,haltere_R,19,0,14,0,5,0.0,110.0,,"DNg02:9,LAL_inh:5","damping,→lift,→steer"
172,1022,1022,R1-R6,L,43,5,3,R1-R6_L,115,0,0,0,0,0.0,0.0,,,brightness
173,1023,1023,LPi_v,L,19,2,3,LPi_v_L,11,23,10,6,3,148.0,123.0,T4d:23,"DNg02:9,VS:1","descend,→climb,→lift"
174,1024,1024,T4d,L,13,1,5,T4d_L,60,0,5,0,2,0.0,29.0,,LPi_v:5,descend
175,1025,1025,T4c,R,8,1,0,T4c_R,61,0,6,0,3,0.0,33.0,,VS:6,climb
176,1026,1026,T4b,R,23,2,7,T4b_R,54,0,3,0,0,0.0,25.0,,LPi_h:3,yaw
177,1027,1027,VS,R,24,3,0,VS_R,8,25,15,7,4,233.0,166.0,"T4c:22,LPi_v:3",DNg02:15,"climb,←descend,→lift"
178,1028,1028,T4d,R,13,1,5,T4d_R,61,0,3,0,0,0.0,33.0,,LPi_v:3,descend
179,1029,1029,T4c,L,9,1,1,T4c_L,57,0,4,0,1,0.0,25.0,,VS:4,climb
180,1030,1030,T4d,L,30,3,6,T4d_L,61,0,4,0,1,0.0,44.0,,LPi_v:4,descend
181,1031,1031,PVLP_inh,L,40,5,0,PVLP_inh_L,6,2,6,0,0,76.0,133.0,DNp03:2,"PVLP:5,DNp03:1","saccade,→loom"
182,1032,1032,LPLC2,R,30,3,6,LPLC2_R,31,0,12,0,4,0.0,88.0,,PVLP:12,loom
183,1033,1033,T4b,R,31,3,7,T4b_R,55,0,4,0,0,0.0,34.0,,LPi_h:4,yaw
184,1034,1034,T4b,R,37,4,5,T4b_R,56,0,3,0,0,0.0,27.0,,LPi_h:3,yaw
185,1035,1035,LPi_h,R,9,1,1,LPi_h_R,10,13,2,2,0,137.0,14.0,T4b:13,HS:2,yaw
186,1036,1036,R1-R6,R,18,2,2,R1-R6_R,116,0,0,0,0,0.0,0.0,,,brightness
187,1037,1037,T4d,R,21,2,5,T4d_R,62,0,3,0,0,0.0,34.0,,LPi_v:3,descend
188,1038,1038,T4a,R,39,4,7,T4a_R,57,0,1,0,0,0.0,6.0,,HS:1,yaw
189,1039,1039,T4a,R,19,2,3,T4a_R,58,0,2,0,0,0.0,12.0,,HS:2,yaw
190,1040,1040,LPi_v,R,14,1,6,LPi_v_R,10,15,8,3,2,130.0,86.0,T4d:15,DNg02:8,"descend,→lift"
191,1041,1041,T4a,L,6,0,6,T4a_L,57,0,2,0,0,0.0,18.0,,HS:2,yaw
192,1042,1042,T4a,L,47,5,7,T4a_L,58,0,1,0,0,0.0,12.0,,HS:1,yaw
193,1043,1043,LC4,R,28,3,4,LC4_R,14,0,12,0,3,0.0,75.0,,PVLP:12,loom
194,1044,1044,haltere,R,36,4,4,haltere_R,20,0,8,0,3,0.0,84.0,,"DNg02:4,LAL_inh:4","damping,→lift,→steer"
195,1045,1045,T4a,R,34,4,2,T4a_R,59,0,2,0,0,0.0,16.0,,HS:2,yaw
196,1046,1046,DNg02,L,38,4,6,DNg02_L,20,19,0,4,0,366.0,0.0,"haltere:8,LAL_inh:7,LPi_v:4",,"lift,←descend,←steer,←damping"
197,1047,1047,T4c,L,12,1,4,T4c_L,58,0,4,0,2,0.0,24.0,,VS:4,climb
198,1048,1048,haltere,L,15,1,7,haltere_L,21,0,10,0,1,0.0,73.0,,"DNg02:8,LAL_inh:2","damping,→steer,→lift"
199,1049,1049,T4a,R,24,3,0,T4a_R,60,0,1,0,0,0.0,7.0,,HS:1,yaw
